Id,Metric,Description,Studies
1,Active Contributors,(definition not provided),[S20]
2,Active Developers in the Past,The total number of active developers developing on top of a PaaS provides a direct measure of developer interest in the past year.,[S3]
3,Active Developers of Unique Repositories in the Past Year,The total number of active developers developing on top of a PaaS in the past year working on non-fork repositories i.e. unique projects that were started from scratch instead of based on another project.,[S3]
4,Active Developers Per Segment of Time,The total number of active developers in time between releases or cycle time.,[S3]
5,Activity,The percentage of users with at least one antivirus product actively running with up to date signatures.,[S8]
6,Added Knowledge about Ecosystem,"Aggregated information, blog posts, and manuals about ecosystem.",[S20]
7,Alliances with Other Manufactures,The measurements can be done using company specific data sources and calculating the multi market contact together with performance.,[S15]
8,Amount of Inquires or Feature Requests,Number of inquire or feedbacks received for the OSS community. Contributions could be corrective adaptive perfective or preventive.,[S12]
9,Artifact Quality,(definition not provided),[S20]
10,Asset Buildup,"Productivity will cause growth of the company and buildup of assets over time, e.g., growing value of technologies, patents, brands, increasing amounts of cash and securities.",[S15]
11,Average Files Changed per Commit,Average files changed per commit.,[S6]
12,Average Lines Added per Commit,Average lines added per commit.,[S6]
13,Average Lines Removed per Commit,Average lines removed per commit.,[S6]
14,Average Number of Supported Languages,(definition not provided),[S13]
15,Betweenness Centrality,Reflects the number of shortest paths that pass through a specific node.,[S12]
16,Bug Delay,The service delays on open issues by subtracting the closing dates of issues in the bug report from the opening date of the issues.,[S19]
17,Bug Fix Time,How quickly problems are reported and resolved in the ecosystem.,[S20]
18,Bug Tracking Activity,Number of comments created in project bug tracker and total number of actions in the bug tracker.,[S12]
19,Buildup of Assets,Total factor productivity over time. Can be measured using individual company data.,[S12]
20,Capital Contributors and Donations,(definition not provided),[S20]
21,Centrality,"Number of relations clique memberships. Number of individual network relations of a partner. The more central partner is the most persistent. When the partners are in clique or cluster, its persistence is considered high. Because is regarded as a secure environment.",[S12]
22,Centrality of the Company,"The more central a company is in the business ecosystem, the more persistent it is.",[S15]
23,Centrality of the Platform,(definition not provided),[S9]
24,Cluster of Collaborating Developers,The nodes are developers and the edges between them represent projects on which they collaborated. They both make modifications to the project for at least a certain number of times.,[S12]
25,Code Complexity,(definition not provided),[S11]
26,Code Vocabulary Map,Summary of terms used in the source code of the project. The vocabulary map is a tool for the developer who wants to obtain a general overview of the domain language of a project.,[S12]
27,Code Growth,(definition not provided),[S11]
28,Commercial Patronage,(definition not provided),[S20]
29,Communication and Use Intensity,"If a project has a healthy community, there is indication of strong relationship between some measures such as the number of download compared to mailing list postings and the active developer interaction in (different) mailing lists.",[S21]
30,Connectedness,"Connectedness of the business ecosystem of the individual agent, i.e., number of relations the partner has.",[S15]
31,Connectedness of Company,Connectedness for the entire business ecosystem.,[S15]
32,Continuity of Use Experience and Use Cases,The experience of consumers of an ecosystem's products will gradually evolve in response to the introduction of new technologies rather than being radically transformed. Existing capabilities and tools will be leveraged to perform new operations enabled by new technologies.,"[S20],[S22]"
33,Contributor Activity Graph,The contributor distribution at ecosystem level.,[S12]
34,Contributor Commit Rate,Average between first and last commit.,[S12]
35,Contributor Connectedness,(definition not provided),[S20]
36,Contributor Ratings and Reputation,Describe how well the developer is contributing and performing within the ecosystem.,[S20]
37,Contributor Satisfaction,(definition not provided),[S20]
38,Core Network Consistence,(definition not provided),[S20]
39,Cost of Changing and Upgrade,Costs of change and upgrade to be able to keep up with new technologies over multiple consecutive years.,[S15]
40,Created at Date Smaller Than Push Date/Created at Date >= Than Push Date,The proportion of repositories forked or created and subsequently never updated in relation to repositories that are updated.,[S3]
41,Date of Last Commit,Date of last commit of a project/community.,[S12]
