"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source"
"Kula R.G.; German D.M.; Ishio T.; Ouni A.; Inoue K.","Kula, Raula Gaikovina (57188638536); German, Daniel M. (57207886015); Ishio, Takashi (8381338700); Ouni, Ali (50761492200); Inoue, Katsuro (7601540520)","57188638536; 57207886015; 8381338700; 50761492200; 7601540520","An exploratory study on library aging by monitoring client usage in a software ecosystem","2017","11","10.1109/SANER.2017.7884643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018435832&doi=10.1109%2fSANER.2017.7884643&partnerID=40&md5=c5c1eca8685c02416fb51aa25cd439c6","Conference paper","Final","","Scopus"
"Hou F.; Jansen S.","Hou, Fang (57222187298); Jansen, Slinger (13610847800)","57222187298; 13610847800","A systematic literature review on trust in the software ecosystem","2023","4","10.1007/s10664-022-10238-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142378471&doi=10.1007%2fs10664-022-10238-y&partnerID=40&md5=aa1b0108734c4928b6915399c81259a7","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus"
"Ilo N.; Grabner J.; Artner T.; Bernhart M.; Grechenig T.","Ilo, Nikola (56708842400); Grabner, Johann (54888816900); Artner, Thomas (37013004900); Bernhart, Mario (16229443600); Grechenig, Thomas (6507720565)","56708842400; 54888816900; 37013004900; 16229443600; 6507720565","Combining software interrelationship data across heterogeneous software repositories","2015","2","10.1109/ICSM.2015.7332516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961659711&doi=10.1109%2fICSM.2015.7332516&partnerID=40&md5=065da91c30af365d25d2bea273232095","Conference paper","Final","","Scopus"
"Alfadel M.; Costa D.E.; Shihab E.","Alfadel, Mahmoud (57193697408); Costa, Diego Elias (57198365954); Shihab, Emad (23566819100)","57193697408; 57198365954; 23566819100","Empirical analysis of security vulnerabilities in Python packages","2023","2","10.1007/s10664-022-10278-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150987247&doi=10.1007%2fs10664-022-10278-4&partnerID=40&md5=98d230699cb2a18d3e3823bb65919c10","Article","Final","","Scopus"
"Syamasudha V.; Syed A.R.; Gayatri E.","Syamasudha, V. (57215662885); Syed, Abdul Raheem (57200945828); Gayatri, E. (57210963442)","57215662885; 57200945828; 57210963442","The solutions of SQL injection vulnerability in web application security","2019","0","10.35940/ijeat.F9395.088619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072053252&doi=10.35940%2fijeat.F9395.088619&partnerID=40&md5=ed9395589c5f3f8a6deea0816387aede","Article","Final","All Open Access; Bronze Open Access","Scopus"
"Mitropoulos D.; Gousios G.; Papadopoulos P.; Karakoidas V.; Louridas P.; Spinellis D.","Mitropoulos, Dimitris (36886013800); Gousios, Georgios (14819567500); Papadopoulos, Panagiotis (55872802800); Karakoidas, Vassilios (15042567000); Louridas, Panagiotis (17343724600); Spinellis, Diomidis (35566637400)","36886013800; 14819567500; 55872802800; 15042567000; 17343724600; 35566637400","The Vulnerability Dataset of a Large Software Ecosystem","2016","3","10.1109/BADGERS.2014.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968830358&doi=10.1109%2fBADGERS.2014.8&partnerID=40&md5=14535e1601603ff139003bd6de06610a","Conference paper","Final","","Scopus"
"Zarkogianni K.; Chatzidaki E.; Polychronaki N.; Kalafatis E.; Nicolaides N.C.; Voutetakis A.; Chioti V.; Kitani R.-A.; Mitsis K.; Perakis Κ.; Athanasiou M.; Antonopoulou D.; Pervanidou P.; Kanaka-Gantenbein C.; Nikita K.","Zarkogianni, Konstantia (23391479400); Chatzidaki, Evi (58162081400); Polychronaki, Nektaria (6505944468); Kalafatis, Eleftherios (57220103441); Nicolaides, Nicolas C. (55769747329); Voutetakis, Antonis (35449941400); Chioti, Vassiliki (36117620400); Kitani, Rosa-Anna (57700920200); Mitsis, Kostas (56347769900); Perakis, Κonstantinos (15844079000); Athanasiou, Maria (55774131500); Antonopoulou, Danae (58161889900); Pervanidou, Panagiota (35563966000); Kanaka-Gantenbein, Christina (55886598900); Nikita, Konstantina (7005448427)","23391479400; 58162081400; 6505944468; 57220103441; 55769747329; 35449941400; 36117620400; 57700920200; 56347769900; 15844079000; 55774131500; 58161889900; 35563966000; 55886598900; 7005448427","The ENDORSE Feasibility Study: Exploring the Use of M-Health, Artificial Intelligence and Serious Games for the Management of Childhood Obesity","2023","2","10.3390/nu15061451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151108061&doi=10.3390%2fnu15061451&partnerID=40&md5=1d95f2c06266f3c1dcb5ce14e82bcbfc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Ponta S.E.; Plate H.; Sabetta A.; Bezzi M.; Dangremont C.","Ponta, Serena Elisa (35111618100); Plate, Henrik (24476873000); Sabetta, Antonino (9039083700); Bezzi, Michele (56235096500); Dangremont, Cedric (57211031306)","35111618100; 24476873000; 9039083700; 56235096500; 57211031306","A manually-curated dataset of fixes to vulnerabilities of open-source software","2019","62","10.1109/MSR.2019.00064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072305515&doi=10.1109%2fMSR.2019.00064&partnerID=40&md5=bbc41f6b4723e5907aa9498cf2b4664d","Conference paper","Final","All Open Access; Green Open Access","Scopus"
"","","","CEUR Workshop Proceedings","2017","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041679272&partnerID=40&md5=14afe914134a2c0a8da7c55989a29228","Conference review","Final","","Scopus"
"Nierstrasz O.","Nierstrasz, Oscar (6602127759)","6602127759","The death of object-oriented programming","2016","3","10.1007/978-3-662-49665-7_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961763271&doi=10.1007%2f978-3-662-49665-7_1&partnerID=40&md5=04bad2883e127fea4e27f7ab6534bca9","Conference paper","Final","","Scopus"
"Linåker J.; Papatheocharous E.; Olsson T.","Linåker, Johan (56426528100); Papatheocharous, Efi (24491068000); Olsson, Thomas (52365610500)","56426528100; 24491068000; 52365610500","How to characterize the health of an Open Source Software project? A snowball literature review of an emerging practice","2022","1","10.1145/3555051.3555067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139099545&doi=10.1145%2f3555051.3555067&partnerID=40&md5=340d3181a63dbda5a96e275233ff6229","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus"
"Veenhuis C.B.","Veenhuis, Christian B. (8906504400)","8906504400","Community optimization","2013","0","10.1007/978-3-642-45318-2_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892765799&doi=10.1007%2f978-3-642-45318-2_1&partnerID=40&md5=19df731cae5596acf217af26f99d50a7","Conference paper","Final","","Scopus"
"Zineddine M.; Alaoui C.; Saidou N.","Zineddine, Mhamed (55028120000); Alaoui, Chakib (6602633320); Saidou, Nourddin (6503865601)","55028120000; 6602633320; 6503865601","Commercial software companies and open source community reaction to disclosed vulnerabilities: Case of Windows Server 2008 and Linux patching","2017","0","10.1109/WITS.2017.7934677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021624749&doi=10.1109%2fWITS.2017.7934677&partnerID=40&md5=2d527e01f0dfe8596ff42be2d4249ade","Conference paper","Final","","Scopus"
"Deng X.; Ye W.; Xie R.; Zhang S.-K.","Deng, Xiao (57203413536); Ye, Wei (57202350940); Xie, Rui (57208228261); Zhang, Shi-Kun (7409376421)","57203413536; 57202350940; 57208228261; 7409376421","Survey of Source Code Bug Detection Based on Deep Learning; [基于深度学习的源代码缺陷检测研究综述]","2023","1","10.13328/j.cnki.jos.006696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161293722&doi=10.13328%2fj.cnki.jos.006696&partnerID=40&md5=958b708bc4fbe875f699bb83aea10c04","Article","Final","","Scopus"
"Kikas R.; Gousios G.; Dumas M.; Pfahl D.","Kikas, Riivo (56964359900); Gousios, Georgios (14819567500); Dumas, Marlon (7201354798); Pfahl, Dietmar (6603033193)","56964359900; 14819567500; 7201354798; 6603033193","Structure and evolution of package dependency networks","2017","97","10.1109/MSR.2017.55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026515162&doi=10.1109%2fMSR.2017.55&partnerID=40&md5=7902af45d2726ec5612620ed01dda5cd","Conference paper","Final","All Open Access; Green Open Access","Scopus"
